1992,1,Quesos,Carne,Leche,Lactosuero,Huevos,Tocino,Carne,Carne,Despojos,Carne,Suero,Carne,Mantequilla,Productos,Animales,Otros,Pieles,Gallos,,,,,,,,,,,
1992,2,Carne,Tocino,Carne,Leche,Gallos,Suero,Productos,Huevos,Pescado,Moluscos,Otros,Filetes,Quesos,Carne,,,,,,,,,,,,,,,
1992,3,Carne,Lactosuero,Productos,Otros,Quesos,Miel,Pescado,Leche,Animales,Despojos,Suero,Mantequilla,Carne,Huevos,Animales,Gallos,,,,,,,,,,,,,
1992,4,Quesos,Productos,Miel,Carne,Leche,Crustáceos,Despojos,Carne,Pieles,Pescado,Productos,Caballos,Gallos,Huevos,Leche,Suero,Mantequilla,,,,,,,,,,,,
1992,5,Animales,Carne,Filetes,Miel,Gallos,Quesos,Suero,Mantequilla,Crustáceos,Animales,Carne,Productos,Huevos,Carne,Otros,Caballos,Leche,,,,,,,,,,,,
1992,6,Leche,Filetes,Miel,Carne,Carne,Otros,Huevos,Peces,Gallos,Crustáceos,Quesos,Tocino,Tripas,Mantequilla,Despojos,Pescado,Carne,Suero,,,,,,,,,,,
1992,7,Crustáceos,Productos,Carne,Carne,Tripas,Suero,Huevos,Carne,Carne,Pescado,Leche,Otros,Mantequilla,Gallos,Quesos,,,,,,,,,,,,,,
1992,8,Despojos,Quesos,Carne,Crustáceos,Gallos,Carne,Carne,Otros,Carne,Peces,Filetes,Carne,Suero,Pescado,Mantequilla,Productos,Leche,,,,,,,,,,,,
1992,9,Leche,Productos,Suero,Pescado,Animales,Caballos,Crustáceos,Gallos,Filetes,Mantequilla,Carne,Quesos,Animales,Carne,Huevos,Carne,Leche,,,,,,,,,,,,
1992,10,Animales,Leche,Carne,Carne,Filetes,Despojos,Pescado,Otros,Carne,Pieles,Quesos,Huevos,Crustáceos,Productos,Suero,Leche,Gallos,Carne,Pescado,,,,,,,,,,
1992,11,Carne,Gallos,Miel,Despojos,Carne,Quesos,Huevos,Carne,Crustáceos,Otros,Carne,Caballos,Filetes,Leche,Mantequilla,Suero,Leche,Pescado,Productos,,,,,,,,,,
1992,12,Carne,Mantequilla,Leche,Carne,Leche,Despojos,Animales,Huevos,Tripas,Crustáceos,Moluscos,Quesos,Carne,Carne,Pescado,Miel,Suero,Gallos,Productos,Filetes,,,,,,,,,
